88.74, 2.9, 4.1, 78.25, 4.8, 6.3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.2, 88.74, 2.9, 4.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
88.74, 2.9, 4.0, 78.25, 4.8, 6.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97.2, 1.7, 2.7, 87.72, 3.3, 4.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.3, 88.74, 2.9, 4.0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
80.28, 4.1, 4.9, 69.79, 6.0, 7.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
99.23, 0.9, 2.6, 79.26, 4.4, 5.7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
89.75, 2.5, 2.9, 88.74, 2.9, 4.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 87.72, 3.3, 4.2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 3.3, 80.28, 4.1, 5.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0
97.2, 1.7, 2.0, 95.17, 2.5, 4.4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 3.0, 86.71, 3.7, 5.4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.7, 79.26, 4.4, 5.5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 3.4, 87.72, 3.3, 5.5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86.71, 3.7, 5.9, 67.76, 6.8, 9.2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
116.15, -1.4, 0.7, 95.17, 2.5, 3.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 2.8, 89.75, 2.5, 4.5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
88.74, 2.9, 3.6, 85.69, 4.0, 6.1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.5, 87.72, 3.3, 5.2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
87.72, 3.3, 4.6, 84.68, 4.4, 6.6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.3, 88.74, 2.9, 4.7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
81.29, 3.7, 5.1, 75.2, 6.0, 7.7, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.4, 77.23, 5.2, 7.0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 87.72, 3.3, 3.9, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
90.77, 2.1, 3.7, 80.28, 4.1, 5.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0
97.2, 1.7, 3.5, 88.74, 2.9, 5.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
79.26, 4.4, 6.7, 80.28, 4.1, 5.4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
88.74, 2.9, 3.4, 86.71, 3.7, 5.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 4.1, 86.71, 3.7, 5.1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.72, 3.3, 4.3, 74.19, 6.4, 7.8, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 3.5, 88.74, 2.9, 5.7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
90.77, 2.1, 4.0, 88.74, 2.9, 4.4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.8, 87.72, 3.3, 5.4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
80.28, 4.1, 5.7, 73.17, 6.8, 9.2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
80.28, 4.1, 5.2, 78.25, 4.8, 6.7, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
81.29, 3.7, 4.9, 78.25, 4.8, 6.4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81.29, 3.7, 4.7, 86.71, 3.7, 5.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
80.28, 4.1, 4.5, 78.25, 4.8, 7.0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
71.82, 5.2, 7.9, 73.17, 6.8, 10.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.3, 76.22, 5.6, 7.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.2, 79.26, 4.4, 5.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
89.75, 2.5, 3.1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.5, 76.22, 5.6, 7.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
97.2, 1.7, 3.7, 78.25, 4.8, 6.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68.77, 6.4, 7.6, 80.28, 4.1, 5.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.8, 85.69, 4.0, 5.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 3.1, 88.74, 2.9, 5.7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
98.21, 1.3, 3.2, 97.2, 1.7, 3.9, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.4, 86.71, 3.7, 4.7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
89.75, 2.5, 2.9, 89.75, 2.5, 4.5, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97.2, 1.7, 2.8, 84.68, 4.4, 5.9, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97.2, 1.7, 3.3, 85.69, 4.0, 5.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0
88.74, 2.9, 3.6, 79.26, 4.4, 5.3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
98.21, 1.3, 2.7, 86.71, 3.7, 5.1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.1, 86.71, 3.7, 5.9, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 4.4, 76.22, 5.6, 6.9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 2.8, 85.69, 4.0, 6.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.4, 86.71, 3.7, 5.9, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.5, 85.69, 4.0, 5.7, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.8, 88.74, 2.9, 4.9, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 3.3, 83.66, 4.8, 7.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
98.21, 1.3, 2.9, 86.71, 3.7, 4.7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 2.4, 77.23, 5.2, 6.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.8, 85.69, 4.0, 5.4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.72, 3.3, 5.0, 77.23, 5.2, 7.8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
89.75, 2.5, 3.7, 88.74, 2.9, 5.5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
87.72, 3.3, 4.6, 86.71, 3.7, 6.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.1, 79.26, 4.4, 4.9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.4, 77.23, 5.2, 7.3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.8, 79.26, 4.4, 5.2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.9, 86.71, 3.7, 6.1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.1, 80.28, 4.1, 5.7, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
79.26, 4.4, 4.8, 78.25, 4.8, 6.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
98.21, 1.3, 3.0, 87.72, 3.3, 4.9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 81.29, 3.7, 4.3, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
86.71, 3.7, 5.0, 84.68, 4.4, 7.7, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
88.74, 2.9, 4.5, 80.28, 4.1, 6.0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
88.74, 2.9, 3.6, 78.25, 4.8, 6.6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
86.71, 3.7, 4.7, 84.68, 4.4, 6.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
90.77, 2.1, 2.7, 89.75, 2.5, 5.2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
98.21, 1.3, 2.7, 77.23, 5.2, 6.6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
97.2, 1.7, 3.2, 86.71, 3.7, 5.0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 4.4, 78.25, 4.8, 6.4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
89.75, 2.5, 3.3, 86.71, 3.7, 5.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.9, 75.2, 6.0, 8.4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
88.74, 2.9, 3.8, 86.71, 3.7, 5.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
98.21, 1.3, 2.4, 87.72, 3.3, 4.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.4, 87.72, 3.3, 4.8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 4.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0
99.23, 0.9, 3.1, 88.74, 2.9, 5.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
88.74, 2.9, 3.6, 80.28, 4.1, 5.2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
79.26, 4.4, 4.7, 79.26, 4.4, 6.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
87.72, 3.3, 4.3, 76.22, 5.6, 6.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 1.9, 88.74, 2.9, 3.9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.2, 86.71, 3.7, 6.4, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.8, 85.69, 4.0, 5.7, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.0, 86.71, 3.7, 4.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.9, 85.69, 4.0, 5.2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.28, 4.1, 5.2, 78.25, 4.8, 7.3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 4.0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.5, 86.71, 3.7, 5.1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
89.75, 2.5, 3.8, 87.72, 3.3, 5.8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 2.7, 89.75, 2.5, 4.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.1, 76.22, 5.6, 6.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
86.71, 3.7, 4.3, 95.17, 2.5, 4.5, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
97.2, 1.7, 3.5, 85.69, 4.0, 5.4, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.5, 79.26, 4.4, 5.6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 86.71, 3.7, 4.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
88.74, 2.9, 4.5, 87.72, 3.3, 5.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96.18, 2.1, 2.2, 86.71, 3.7, 4.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.6, 62.68, 8.7, 10.8, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 5.0, 84.68, 4.4, 7.5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
90.77, 2.1, 2.8, 87.72, 3.3, 5.3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 4.7, 78.25, 4.8, 6.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.5, 79.26, 4.4, 5.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
90.77, 2.1, 4.1, 86.71, 3.7, 5.1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.0, 79.26, 4.4, 5.8, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
87.72, 3.3, 5.2, 87.72, 3.3, 4.7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.28, 4.1, 5.9, 74.19, 6.4, 8.9, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
99.23, 0.9, 3.0, 86.71, 3.7, 6.1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
98.21, 1.3, 2.2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 4.6, 83.66, 4.8, 6.5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
89.75, 2.5, 3.2, 80.28, 4.1, 7.1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
88.74, 2.9, 4.3, 88.74, 2.9, 5.6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
96.18, 2.1, 2.4, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.1, 86.71, 3.7, 5.4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
97.2, 1.7, 3.0, 87.72, 3.3, 5.3, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.28, 4.1, 5.1, 66.74, 7.2, 8.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.4, 87.72, 3.3, 5.9, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 3.4, 78.25, 4.8, 6.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.9, 87.72, 3.3, 4.5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
87.72, 3.3, 5.4, 85.69, 4.0, 6.8, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 3.1, 87.72, 3.3, 5.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
98.21, 1.3, 1.8, 86.71, 3.7, 4.6, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
88.74, 2.9, 3.6, 86.71, 3.7, 5.9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
89.75, 2.5, 3.0, 88.74, 2.9, 4.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
88.74, 2.9, 4.0, 76.22, 5.6, 7.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
89.75, 2.5, 4.2, 80.28, 4.1, 6.7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
98.21, 1.3, 2.5, 89.75, 2.5, 4.4, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.5, 88.74, 2.9, 4.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
98.21, 1.3, 2.5, 86.71, 3.7, 4.9, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
88.74, 2.9, 3.1, 86.71, 3.7, 5.3, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
80.28, 4.1, 4.2, 78.25, 4.8, 7.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.5, 79.26, 4.4, 5.6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0
89.75, 2.5, 3.5, 80.28, 4.1, 5.6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.1, 87.72, 3.3, 5.3, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
88.74, 2.9, 4.4, 79.26, 4.4, 5.8, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
99.23, 0.9, 1.4, 89.75, 2.5, 3.7, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.8, 85.69, 4.0, 5.9, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.2, 81.29, 3.7, 5.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
98.21, 1.3, 2.6, 96.18, 2.1, 3.4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.72, 3.3, 4.6, 77.23, 5.2, 6.8, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 3.8, 88.74, 2.9, 5.3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82.31, 3.3, 6.8, 82.31, 3.3, 5.1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86.71, 3.7, 4.5, 84.68, 4.4, 6.1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
98.21, 1.3, 2.9, 86.71, 3.7, 5.8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
0, 0, 0, 96.18, 2.1, 3.6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
88.74, 2.9, 3.7, 85.69, 4.0, 5.9, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.7, 86.71, 3.7, 5.6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 4.8, 78.25, 4.8, 6.6, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
88.74, 2.9, 4.0, 78.25, 4.8, 6.2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
88.74, 2.9, 3.7, 83.66, 4.8, 7.3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.28, 4.1, 5.5, 79.26, 4.4, 5.8, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.0, 88.74, 2.9, 4.4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.77, 2.1, 3.1, 88.74, 2.9, 4.8, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0
89.75, 2.5, 2.9, 86.71, 3.7, 5.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
98.21, 1.3, 2.4, 87.72, 3.3, 5.0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
89.75, 2.5, 3.3, 89.75, 2.5, 4.6, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.3, 85.69, 4.0, 5.8, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
80.28, 4.1, 5.2, 79.26, 4.4, 6.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.72, 3.3, 5.5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
98.21, 1.3, 2.9, 87.72, 3.3, 5.0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.74, 2.9, 3.1, 86.71, 3.7, 5.7, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
